Approach,Mean_Final_Cost,Std_Dev,Std_Error,Finished_Seeds,Best_Cost,Worst_Cost
standard_disagreement,-0.991136,0.000000,0.000000,1/5,-0.991136,-0.991136
proximity_auto_lambda,-0.989629,0.000000,0.000000,1/5,-0.989629,-0.989629
chen_variance,-0.986124,0.000000,0.000000,1/5,-0.986124,-0.986124
proximity_b,-0.984083,0.000000,0.000000,1/5,-0.984083,-0.984083
shaker_entropy,-0.983294,0.000000,0.000000,1/5,-0.983294,-0.983294
proximity_bc,-0.981175,0.000000,0.000000,1/5,-0.981175,-0.981175
standard_proximity,-0.972140,0.000000,0.000000,1/5,-0.972140,-0.972140
likelihood_credal,-0.970908,0.000000,0.000000,1/5,-0.970908,-0.970908
